,Date,overall_trend,democratic_trend,republican_trend,andrew cuomo,asa hutchinson,bill haslam,bill walker,brian sandoval,bruce rauner,butch otter,charlie baker,chris christie,chris sununu,dannel malloy,david ige,dennis daugaard,doug burgum,doug ducey,eric greitens,eric holcomb,filtered results,gary herbert,gina raimondo,greg abbott,henry mcmaster,jay inslee,jerry brown,jim justice,john carney,john edwards,john hickenlooper,john kasich,kate brown,kay ivey,kim reynolds,larry hogan,mark dayton,mary fallin,matt bevin,matt mead,nathan deal,paul lepage,pete ricketts,phil bryant,phil scott,rick scott,rick snyder,roy cooper,sam brownback,scott walker,steve bullock,susana martinez,terry mcauliffe,tom wolf,raw_overall_trend,raw_democratic_trend,raw_republican_trend,raw_andrew cuomo,raw_asa hutchinson,raw_bill haslam,raw_bill walker,raw_brian sandoval,raw_bruce rauner,raw_butch otter,raw_charlie baker,raw_chris christie,raw_chris sununu,raw_dannel malloy,raw_david ige,raw_dennis daugaard,raw_doug burgum,raw_doug ducey,raw_eric greitens,raw_eric holcomb,raw_filtered results,raw_gary herbert,raw_gina raimondo,raw_greg abbott,raw_henry mcmaster,raw_jay inslee,raw_jerry brown,raw_jim justice,raw_john carney,raw_john edwards,raw_john hickenlooper,raw_john kasich,raw_kate brown,raw_kay ivey,raw_kim reynolds,raw_larry hogan,raw_mark dayton,raw_mary fallin,raw_matt bevin,raw_matt mead,raw_nathan deal,raw_paul lepage,raw_pete ricketts,raw_phil bryant,raw_phil scott,raw_rick scott,raw_rick snyder,raw_roy cooper,raw_sam brownback,raw_scott walker,raw_steve bullock,raw_susana martinez,raw_terry mcauliffe,raw_tom wolf
0,1960-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0
1,1982-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0
2,2001-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0
3,2003-01,0.08,0.0769230769231,0.0833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333,0.0,0.0,0.0,0.0,0.0,raw count: 2,raw count: 1,raw count: 1,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 1,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 1,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0
4,2003-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0
5,2003-03,0.0322580645161,0.0,0.0416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666667,0.0,0.0,0.0,0.0,0.0,raw count: 1,raw count: 0,raw count: 1,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 1,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0
6,2003-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0
7,2003-05,0.0606060606061,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,raw count: 2,raw count: 0,raw count: 2,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 2,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0
8,2003-06,0.117647058824,0.25,0.0454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545,0.0,0.0,0.0,0.0,0.0,raw count: 4,raw count: 3,raw count: 1,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 3,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 1,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0
9,2003-07,0.129032258065,0.166666666667,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,raw count: 4,raw count: 3,raw count: 1,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 3,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 1,raw count: 0,raw count: 0,raw count: 0,raw count: 0,raw count: 0
