govname1	year
	1925
Brandon, William W.	1926
Graves, Bibb	1927
Graves, Bibb	1928
Graves, Bibb	1929
Graves, Bibb	1930
Miller, Benjamin M.	1931
Miller, Benjamin M.	1932
Miller, Benjamin M.	1933
Miller, Benjamin M.	1934
Graves, Bibb	1935
Graves, Bibb	1936
Graves, Bibb	1937
Graves, Bibb	1938
Dixon, Frank M.	1939
Dixon, Frank M.	1940
Dixon, Frank M.	1941
Dixon, Frank M.	1942
Sparks, Chauncey M.	1943
Sparks, Chauncey M.	1944
Sparks, Chauncey M.	1945
Sparks, Chauncey M.	1946
Folsom, James E.	1947
Folsom, James E.	1948
Folsom, James E.	1949
Folsom, James E.	1950
Persons, Gordon	1951
Persons, Gordon	1952
Persons, Gordon	1953
Persons, Gordon	1954
Folsom, James E.	1955
Folsom, James E.	1956
Folsom, James E.	1957
Folsom, James E.	1958
Patterson, John M.	1959
Patterson, John M.	1960
Patterson, John M.	1961
Patterson, John M.	1962
Wallace, George C.	1963
Wallace, George C.	1964
Wallace, George C.	1965
Wallace, George C.	1966
Wallace, Lurleen B.	1967
Wallace, Lurleen B. then Albert Brewer	1968
Brewer, Albert P.	1969
Brewer, Albert P.	1970
Wallace, George C.	1971
Wallace, George C.	1972
Wallace, George C.	1973
Wallace, George C.	1974
Wallace, George C.	1975
Wallace, George C.	1976
Wallace, George C.	1977
Wallace, George C.	1978
James, Forrest H. "Fob" Jr.	1979
James, Forrest H. "Fob" Jr.	1980
James, Forrest H. "Fob" Jr.	1981
James, Forrest H. "Fob" Jr.	1982
Wallace, George C.	1983
Wallace, George C.	1984
Wallace, George C.	1985
Wallace, George C.	1986
Hunt, Guy	1987
Hunt, Guy	1988
Hunt, Guy	1989
Hunt, Guy	1990
Hunt, Guy	1991
Hunt, Guy	1992
Hunt, Guy and then James Folsom Jr.	1993
Folsom, James E. Jr.	1994
James, Forrest H. "Fob" Jr.	1995
James, Forrest H. "Fob" Jr.	1996
James, Forrest H. "Fob" Jr.	1997
James, Forrest H. "Fob" Jr.	1998
Siegelman, Donald	1999
Siegelman, Donald	2000
Siegelman, Donald	2001
Siegelman, Donald	2002
Riley, Bob	2003
Riley, Bob	2004
Riley, Bob	2005
Riley, Bob	2006
Riley, Bob	2007
Riley, Bob	2008
Riley, Bob	2009
Riley, Bob	2010
Bentley, Robert	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
	1956
	1957
	1958
Egan, William A.	1959
Egan, William A.	1960
Egan, William A.	1961
Egan, William A.	1962
Egan, William A.	1963
Egan, William A.	1964
Egan, William A.	1965
Egan, William A.	1966
Hickel, Walter J.	1967
Hickel, Walter J.	1968
Miller, Keith H.	1969
Miller, Keith H.	1970
Egan, William A.	1971
Egan, William A.	1972
Egan, William A.	1973
Egan, William A.	1974
Hammond, Jay S.	1975
Hammond, Jay S.	1976
Hammond, Jay S.	1977
Hammond, Jay S.	1978
Hammond, Jay S.	1979
Hammond, Jay S.	1980
Hammond, Jay S.	1981
Hammond, Jay S.	1982
Sheffield, Bill	1983
Sheffield, Bill	1984
Sheffield, Bill	1985
Sheffield, Bill	1986
Cowper, Steve C.	1987
Cowper, Steve C.	1988
Cowper, Steve C.	1989
Cowper, Steve C.	1990
Hickel, Walter J.	1991
Hickel, Walter J.	1992
Hickel, Walter J.	1993
Hickel, Walter J.	1994
Knowles, Tony	1995
Knowles, Tony	1996
Knowles, Tony	1997
Knowles, Tony	1998
Knowles, Tony	1999
Knowles, Tony	2000
Knowles, Tony	2001
Knowles, Tony	2002
Murkowski, Frank H.	2003
Murkowski, Frank H.	2004
Murkowski, Frank H.	2005
Murkowski, Frank H.	2006
Palin, Sarah H.	2007
Palin, Sarah H.	2008
Palin, Sarah H.	2009
Parnell, Sean	2010
Parnell, Sean	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
McFarland, Ernest W.	1956
McFarland, Ernest W.	1957
McFarland, Ernest W.	1958
Fannin, Paul J.	1959
Fannin, Paul J.	1960
Fannin, Paul J.	1961
Fannin, Paul J.	1962
Fannin, Paul J.	1963
Fannin, Paul J.	1964
Goddard, Sam	1965
Goddard, Sam	1966
Williams, Jack	1967
Williams, Jack	1968
Williams, Jack	1969
Williams, Jack	1970
Williams, Jack	1971
Williams, Jack	1972
Williams, Jack	1973
Williams, Jack	1974
Castro, Raul	1975
Castro, Raul	1976
Castro, Raul and then Wesley Bolin	1977
Bolin, Wesley, and then Bruce Babbitt	1978
Babbitt, Bruce	1979
Babbitt, Bruce	1980
Babbitt, Bruce	1981
Babbitt, Bruce	1982
Babbitt, Bruce	1983
Babbitt, Bruce	1984
Babbitt, Bruce	1985
Babbitt, Bruce	1986
Mecham, Evan	1987
Mecham, Evan and then Rose Mofford	1988
Mofford, Rose	1989
Mofford, Rose	1990
Mofford, Rose and then Fife Symington	1991
Symington, Fife	1992
Symington, Fife	1993
Symington, Fife	1994
Symington, Fife	1995
Symington, Fife	1996
Switch; Symington then Jane Hull-R	1997
Hull, Jane	1998
Hull, Jane	1999
Hull, Jane	2000
Hull, Jane	2001
Hull, Jane	2002
Napolitano, Janet	2003
Napolitano, Janet	2004
Napolitano, Janet	2005
Napolitano, Janet	2006
Napolitano, Janet	2007
Napolitano, Janet	2008
Brewer, Jan	2009
Brewer, Jan	2010
Brewer, Jan	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Faubus, Orval E.	1956
Faubus, Orval E.	1957
Faubus, Orval E.	1958
Faubus, Orval E.	1959
Faubus, Orval E.	1960
Faubus, Orval E.	1961
Faubus, Orval E.	1962
Faubus, Orval E.	1963
Faubus, Orval E.	1964
Faubus, Orval E.	1965
Faubus, Orval E.	1966
Rockefeller, Winthrop	1967
Rockefeller, Winthrop	1968
Rockefeller, Winthrop	1969
Rockefeller, Winthrop	1970
Bumpers, Dale	1971
Bumpers, Dale	1972
Bumpers, Dale	1973
Bumpers, Dale	1974
Pryor, David	1975
Pryor, David	1976
Pryor, David	1977
Pryor, David	1978
Clinton, Bill	1979
Clinton, Bill	1980
White, Frank D.	1981
White, Frank D.	1982
Clinton, Bill	1983
Clinton, Bill	1984
Clinton, Bill	1985
Clinton, Bill	1986
Clinton, Bill	1987
Clinton, Bill	1988
Clinton, Bill	1989
Clinton, Bill	1990
Clinton, Bill	1991
Clinton, Bill	1992
Tucker, Jim Guy Jr.	1993
Tucker, Jim Guy Jr.	1994
Tucker, Jim Guy Jr.	1995
Switch; Tucker then Huckabee	1996
Huckabee, Mike	1997
Huckabee, Mike	1998
Huckabee, Mike	1999
Huckabee, Mike	2000
Huckabee, Mike	2001
Huckabee, Mike	2002
Huckabee, Mike	2003
Huckabee, Mike	2004
Huckabee, Mike	2005
Huckabee, Mike	2006
Beebe, Mike	2007
Beebe, Mike	2008
Beebe, Mike	2009
Beebe, Mike	2010
Beebe, Mike	2011
	2012
	2013
	2014
	2015
	2016
	1925
	1926
	1927
	1928
	1929
	1930
	1931
	1932
	1933
	1934
	1935
	1936
	1937
	1938
	1939
	1940
	1941
	1942
	1943
	1944
	1945
	1946
	1947
	1948
	1949
	1950
	1951
	1952
	1953
	1954
	1955
Knight, Goodwin J.	1956
Knight, Goodwin J.	1957
Knight, Goodwin J.	1958
Brown, Edmund G. "Pat" Sr.	1959
Brown, Edmund G. "Pat" Sr.	1960
Brown, Edmund G. "Pat" Sr.	1961
Brown, Edmund G. "Pat" Sr.	1962
Brown, Edmund G. "Pat" Sr.	1963
Brown, Edmund G. "Pat" Sr.	1964
Brown, Edmund G. "Pat" Sr.	1965
Brown, Edmund G. "Pat" Sr.	1966
Reagan, Ronald	1967
Reagan, Ronald	1968
Reagan, Ronald	1969
Reagan, Ronald	1970
Reagan, Ronald	1971
Reagan, Ronald	1972
Reagan, Ronald	1973
Reagan, Ronald	1974
Brown, Edmund G. "Jerry" Jr.	1975
Brown, Edmund G. "Jerry" Jr.	1976
Brown, Edmund G. "Jerry" Jr.	1977
Brown, Edmund G. "Jerry" Jr.	1978
Brown, Edmund G. "Jerry" Jr.	1979
Brown, Edmund G. "Jerry" Jr.	1980
Brown, Edmund G. "Jerry" Jr.	1981
Brown, Edmund G. "Jerry" Jr.	1982
Deukmejian, George	1983
Deukmejian, George	1984
Deukmejian, George	1985
Deukmejian, George	1986
Deukmejian, George	1987
Deukmejian, George	1988
Deukmejian, George	1989
Deukmejian, George	1990
Wilson, Peter B. "Pete"	1991
Wilson, Peter B. "Pete"	1992
Wilson, Peter B. "Pete"	1993
Wilson, Peter B. "Pete"	1994
Wilson, Peter B. "Pete"	1995
Wilson, Peter B. "Pete"	1996
Wilson, Peter B. "Pete"	1997
Wilson, Peter B. "Pete"	1998
Davis, Gray	1999
Davis, Gray	2000
Davis, Gray	2001
Davis, Gray	2002
Switch; Davis-D then Schwarzenegger	2003
Schwarzenegger, Arnold	2004
Schwarzenegger, Arnold	2005
Schwarzenegger, Arnold	2006
Schwarzenegger, Arnold	2007
Schwarzenegger, Arnold	2008
Schwarzenegger, Arnold	2009
Schwarzenegger, Arnold	2010
Brown, Edmund Gerald	2011
	2012
